file,gain_dB,postLUFS,postTP,limited,maxGR,meanGR,grTimeRatio
1kHz Sine -20 LUFS-16bit.wav,9.66124830518246,-13.9913852217828,-10.2851146403803,0,0,0,0
1kHz Sine -26 LUFS-16bit.wav,15.6612503298213,-13.991385391397,-10.2820201346547,0,0,0,0
1kHz Sine -40 LUFS-16bit.wav,29.7006733132469,-13.9913889245696,-10.2456896323158,0,0,0,0
EBU-reference_listening_signal_pinknoise_500Hz_2kHz_R128.wav,10.1168692471311,-13.9902365099377,-1,1,0.188221562456997,4.61155727008891e-07,4.60069444444444e-05
p226_009(1).wav,13.4771008604887,-14.3974320241286,-0.999999999999999,1,0.640319566554109,0.00432631489659628,0.0307239842015154
p226_009.wav,14.0711637194151,-14.4842672665473,-0.999999999999999,1,0.64928364261565,0.0054951465350471,0.0357288152831692
p226_010(1).wav,12.5187889794309,-14.6382913280502,-0.999999999999999,1,0.606476283632027,0.00715991552538144,0.041172948910215
p226_010.wav,15.0362457179128,-15.3611012769466,-0.999999999999999,1,0.684564214857757,0.0169491912075341,0.0762879142635282
p226_011(1).wav,13.2028097770657,-14.2921611902723,-0.999999999999999,1,0.647026866820025,0.00434932368459534,0.0288673033841719
p226_011.wav,15.8237878941763,-14.5867158491052,-0.999999999999999,1,0.710127488371788,0.00932865539660819,0.0484685946402992
p226_012(1).wav,13.6347184451038,-14.2216122219155,-0.999999999999999,1,0.64367146732214,0.0018341573769489,0.0135616937261592
p226_012.wav,17.1545370346843,-14.5332251761034,-0.999999999999999,1,0.753511102407928,0.00507751833887224,0.028278287872108
p226_013(1).wav,13.2382310501636,-14.5800635896928,-0.999999999999999,1,0.622537378855871,0.00542686352063803,0.0369629244629245
p226_013.wav,14.9975024083357,-14.9717924172405,-0.999999999999999,1,0.682616680408073,0.0107825991229075,0.0576663201663202
seq-3341-1-16bit.wav,12.6609822372537,-13.9913851649191,-10.2860560385389,0,0,0,0
seq-3341-10-1-24bit.wav,25.1423391169038,-15.4608371523139,-1,1,0.304027934677019,0.0821491199033316,0.562510416666667
seq-3341-10-10-24bit.wav,34.7772951518243,-20.9261829880073,-0.999999999999999,1,0.770929747023518,0.301681899396304,0.514045950155763
seq-3341-10-11-24bit.wav,37.2127275664549,-22.1295273121333,-0.999999999999999,1,0.826939850434847,0.33816666300708,0.500026515151515
seq-3341-10-12-24bit.wav,37.32014266158,-22.0877408197951,-0.999999999999999,1,0.829066840567533,0.330921027014748,0.530991887905605
seq-3341-10-13-24bit.wav,39.5302661259669,-23.0428411923356,-0.999999999999999,1,0.867468184651823,0.35483089622571,0.495718390804598
seq-3341-10-14-24bit.wav,39.5905422238618,-22.9749247353727,-0.999999999999999,1,0.868384710965793,0.346653505393135,0.483221288515406
seq-3341-10-15-24bit.wav,41.6080593172535,-23.7357980882564,-0.999999999999999,1,0.89566488785818,0.362464678512304,0.471338797814208
seq-3341-10-16-24bit.wav,41.6300536950641,-23.6500689544302,-0.999999999999999,1,0.895928750628431,0.35399626562462,0.460026666666667
seq-3341-10-17-24bit.wav,43.4814794077578,-24.2553325417452,-0.999999999999999,1,0.915907070379589,0.364106742904316,0.449244791666667
seq-3341-10-18-24bit.wav,43.4721930884082,-24.1607223596605,-0.999999999999999,1,0.915817116278295,0.355684562813182,0.438956743002545
seq-3341-10-19-24bit.wav,45.1792663647773,-24.636145104487,-0.999999999999999,1,0.930837587338079,0.361410490818285,0.429129353233831
seq-3341-10-2-24bit.wav,23.7673977297265,-14.6754608753279,-0.999999999999999,1,0.183984138870831,0.0361170384542943,0.512048192771084
seq-3341-10-20-24bit.wav,45.1442888454435,-24.5379757479755,-0.999999999999999,1,0.930558513217684,0.353247625662023,0.419732360097324
seq-3341-10-3-24bit.wav,24.4662606044155,-15.0714430989213,-1,1,0.248401359471384,0.0551673205890548,0.494195736434109
seq-3341-10-4-24bit.wav,24.91600846765,-15.3156351229425,-0.999999999999999,1,0.285981630100091,0.0668513737218354,0.421348314606742
seq-3341-10-5-24bit.wav,28.3198470473974,-17.4016051730835,-0.999999999999999,1,0.517473892590367,0.170955411910208,0.543500905797101
seq-3341-10-6-24bit.wav,28.6513443328675,-17.5604758822658,-0.999999999999999,1,0.535441801508034,0.175549530255557,0.526337719298246
seq-3341-10-7-24bit.wav,31.6707875328394,-19.3751756651472,-0.999999999999999,1,0.672331768311814,0.254251865772451,0.535739795918367
seq-3341-10-8-24bit.wav,31.909828811036,-19.4401669120867,-0.999999999999999,1,0.68126700193116,0.252680197920337,0.519826732673267
seq-3341-10-9-24bit.wav,34.611408775166,-20.9314674661469,-0.999999999999999,1,0.766512833775074,0.306982958352839,0.528874198717949
seq-3341-11-24bit.wav,45.8287412544489,-22.7292112896538,-0.999999999999999,1,0.959505455999834,0.338344120108854,0.473981944444444
seq-3341-12-24bit.wav,12.6679244414987,-13.9913880307293,-7.32654611259304,0,0,0,0
seq-3341-14-24bit.wav.wav,24.3354991837915,-14.6328852039671,-0.999999999999999,1,0.518336132576295,0.0218385817402537,0.12710546875
seq-3341-2-16bit.wav,22.6678759772606,-13.9913900644972,-10.2450940897582,0,0,0,0
seq-3341-2011-8_seq-3342-6-24bit-v02.wav,17.776891212708,-14.3476412475407,-0.999999999999999,1,0.830850387716464,0.0045452936560228,0.0345761306070315
seq-3341-3-16bit-v02.wav,15.8884477352568,-13.9913850525973,-7.10526389108851,0,0,0,0
seq-3341-4-16bit-v02.wav,24.866719562095,-14.9358427706763,-0.999999999999999,1,0.282036910619281,0.0581520869002586,0.374999583333333
seq-3341-5-16bit-v02.wav,13.6765323321635,-13.9913850542408,-6.31741016435224,0,0,0,0
seq-3341-6-5channels-16bit.wav,17.4052994243337,-13.9913850174744,-10.295357783444,0,0,0,0
seq-3341-6-6channels-WAVEEX-16bit.wav,18.9889243452857,-13.9913850174752,-10.2953577834446,0,0,0,0
seq-3341-7_seq-3342-5-24bit.wav,13.0131426441399,-14.0219078278626,-0.999999999999999,1,0.437301852320018,0.000230068278873938,0.00367783285391794
seq-3341-9-24bit.wav,14.8186623192877,-13.9913853596331,-5.175808234804,0,0,0,0
seq-3342-1-16bit.wav,14.6850081428435,-13.9913850907633,-5.30893435367224,0,0,0,0
seq-3342-2-16bit.wav,7.19654097773611,-13.9913850243497,-7.79802998462418,0,0,0,0
seq-3342-3-16bit.wav,19.6480267883997,-14.0917334068755,-1,1,0.0720928208857546,0.00595269843221935,0.270833333333333
seq-3342-4-16bit.wav,27.6086691899805,-15.2809978247243,-0.999999999999999,1,0.629466438023208,0.0737583618341469,0.17500125
