file,TP_4x,TP_8x,diffTP,tpCeil,pass_4x,pass_8x,flip_case,borderline
1kHz Sine -20 LUFS-16bit.wav,-19.9463627684509,-19.9461111875839,0.000251580867015377,-1,1,1,0,0
1kHz Sine -26 LUFS-16bit.wav,-25.9432697826048,-25.9430182017377,0.000251580867015377,-1,1,1,0,0
1kHz Sine -40 LUFS-16bit.wav,-39.9463626984299,-39.9461111175628,0.000251580867015377,-1,1,1,0,0
EBU-reference_listening_signal_pinknoise_500Hz_2kHz_R128.wav,-9.30020061369488,-9.29904083595529,0.00115977773958953,-1,1,1,0,0
p226_009(1).wav,-5.58667731936708,-5.58564275345571,0.00103456591137796,-1,1,1,0,0
p226_009.wav,-5.96301172370172,-5.96240922212982,0.000602501571896674,-1,1,1,0,0
p226_010(1).wav,-5.41339527980377,-5.41314369893676,0.000251580867014489,-1,1,1,0,0
p226_010.wav,-6.01169651452789,-6.01144493366087,0.000251580867016266,-1,1,1,0,0
p226_011(1).wav,-5.1977904374859,-5.19753885661889,0.000251580867016266,-1,1,1,0,0
p226_011.wav,-5.98092512286295,-5.97962158443335,0.00130353842959785,-1,1,1,0,0
p226_012(1).wav,-5.64051385455927,-5.63768064739096,0.00283320716830193,-1,1,1,0,0
p226_012.wav,-5.98130478300229,-5.97964842595551,0.00165635704677847,-1,1,1,0,0
p226_013(1).wav,-5.75214186662462,-5.7481001357417,0.00404173088291504,-1,1,1,0,0
p226_013.wav,-6.01469651981567,-6.01444493894865,0.000251580867015377,-1,1,1,0,0
seq-3341-1-16bit.wav,-22.9470379499553,-22.9467863690883,0.000251580867015377,-1,1,1,0,0
seq-3341-10-1-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-10-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-11-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-12-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-13-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-14-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-15-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-16-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-17-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-18-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-19-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-2-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-20-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-3-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-4-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-5-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-6-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-7-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-8-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-10-9-24bit.wav,-22.9944721429719,-22.9942205621049,0.000251580867015377,-1,1,1,0,0
seq-3341-11-24bit.wav,-18.9944753767779,-18.9942237959109,0.00025158086701893,-1,1,1,0,0
seq-3341-12-24bit.wav,-19.9944705540917,-19.9942189732247,0.000251580867015377,-1,1,1,0,0
seq-3341-14-24bit.wav.wav,-18.9944753767779,-18.9942237959109,0.00025158086701893,-1,1,1,0,0
seq-3341-2-16bit.wav,-32.9129693155807,-32.9127177347137,0.000251580867015377,-1,1,1,0,0
seq-3341-2011-8_seq-3342-6-24bit-v02.wav,-3.34921163971256,-3.34896005884554,0.000251580867018486,-1,1,1,0,0
seq-3341-3-16bit-v02.wav,-22.4487648966988,-22.4485133158318,0.000251580867026036,-1,1,1,0,0
seq-3341-4-16bit-v02.wav,-22.4487648966988,-22.4485133158318,0.000251580867026036,-1,1,1,0,0
seq-3341-5-16bit-v02.wav,-19.449849301776,-19.449597720909,0.00025158086701893,-1,1,1,0,0
seq-3341-6-5channels-16bit.wav,-27.7006572077777,-27.7004056269107,0.00025158086701893,-1,1,1,0,0
seq-3341-6-6channels-WAVEEX-16bit.wav,-29.2842821287302,-29.2840305478632,0.000251580867015377,-1,1,1,0,0
seq-3341-7_seq-3342-5-24bit.wav,-9.01816058777698,-9.01773329453756,0.000427293239425808,-1,1,1,0,0
seq-3341-9-24bit.wav,-19.9944705540917,-19.9942189732247,0.000251580867015377,-1,1,1,0,0
seq-3342-1-16bit.wav,-19.9939424965157,-19.9936909156487,0.000251580867015377,-1,1,1,0,0
seq-3342-2-16bit.wav,-14.9945709623603,-14.9943193814933,0.000251580867013601,-1,1,1,0,0
seq-3342-3-16bit.wav,-19.9939424965157,-19.9936909156487,0.000251580867015377,-1,1,1,0,0
seq-3342-4-16bit.wav,-19.449849301776,-19.449597720909,0.00025158086701893,-1,1,1,0,0
